total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,loss,epsilon,intrinsic_reward
4808,139,33,1423.75,3.2391581535339355,False,0,12827.849609375,0.95197807,0.0
4846,140,38,3367.5,3.5967159271240234,True,0,11275.845703125,0.95159845,0.0
4885,141,39,2286.25,5.179727077484131,True,0,12711.7138671875,0.95120884,0.0
4932,142,47,832.5,6.041978359222412,True,0,19008.3828125,0.95073931,0.0
4972,143,40,2117.5,5.118182182312012,True,0,12517.4140625,0.95033971,0.0
5005,144,33,1692.5,2.948042869567871,False,0,55098.640625,0.95001004,0.0
5041,145,36,2490.0,3.749607801437378,False,0,46352.42578125,0.9496504,0.0
5069,146,28,1257.5,2.806246519088745,True,0,21460.33203125,0.94937068,0.0
5094,147,25,1880.0,1.9773218631744385,False,0,34265.1875,0.94912093,0.0
5131,148,37,1856.25,3.7145442962646484,False,0,36008.25390625,0.9487513,0.0
5170,149,39,2330.0,4.179202079772949,False,0,16891.265625,0.94836169,0.0
5208,150,38,2267.5,3.5011606216430664,True,0,16806.98828125,0.94798207,0.0
5245,151,37,2077.5,3.513984441757202,False,0,52289.6640625,0.94761244,0.0
5270,152,25,1098.75,2.3933396339416504,False,0,75240.6875,0.94736269,0.0
5297,153,27,1987.5,2.0998599529266357,True,0,21275.953125,0.94709296,0.0
5313,154,16,520.0,1.0835597515106201,False,0,55845.30859375,0.94693312,0.0
5347,155,34,1432.5,3.4622294902801514,False,0,116708.0546875,0.94659346,0.0
5385,156,38,2457.5,3.773866653442383,True,0,13342.7421875,0.94621384,0.0
5426,157,41,1827.5,4.45196795463562,True,0,59347.5390625,0.94580425,0.0
5463,158,37,1450.0,4.30311131477356,True,0,17177.990234375,0.94543462,0.0
5539,159,76,975.0,12.172028541564941,True,0,60014.5546875,0.94467538,0.0
5581,160,42,2402.5,4.6724772453308105,True,0,10909.591796875,0.9442558,0.0
5620,161,39,1595.0,4.072998523712158,False,0,11079.369140625,0.94386619,0.0
5660,162,40,1525.0,4.360523700714111,False,0,57875.71484375,0.94346659,0.0
5689,163,29,1515.0,2.5453479290008545,True,0,15754.896484375,0.94317688,0.0
5724,164,35,1465.0,4.2638208866119385,True,0,15563.7197265625,0.94282723,0.0
5750,165,26,1607.5,3.7128005027770996,False,0,12642.5009765625,0.94256749,0.0
5800,166,50,2241.25,7.570620775222778,True,0,44671.9296875,0.94206799,0.0
5852,167,52,2365.0,8.224424839019775,False,0,79844.8671875,0.94154851,0.0
5880,168,28,1466.25,3.9838075637817383,False,0,47892.38671875,0.94126879,0.0
5912,169,32,2510.0,4.28979754447937,False,0,30951.11328125,0.94094911,0.0
5945,170,33,2411.25,6.7465784549713135,True,0,14391.8955078125,0.94061944,0.0
5990,171,45,1310.0,6.6718597412109375,True,0,68961.390625,0.94016989,0.0
6024,172,34,1390.0,3.6278834342956543,False,0,70038.7265625,0.93983023,0.0
6063,173,39,2562.5,3.7598371505737305,True,0,28960.439453125,0.93944062,0.0
6092,174,29,1391.25,3.1148667335510254,True,0,61814.45703125,0.93915091,0.0
6142,175,50,2492.5,6.20497727394104,False,0,18307.267578125,0.93865141,0.0
6182,176,40,1465.0,4.64443826675415,False,0,57463.4375,0.93825181,0.0
6217,177,35,1307.5,3.953760862350464,True,0,12721.71484375,0.93790216,0.0
6254,178,37,1922.5,3.6161065101623535,True,0,33338.69140625,0.93753253,0.0
6295,179,41,2420.0,4.540920734405518,True,0,104124.484375,0.93712294,0.0
6343,180,48,1462.5,6.133326530456543,True,0,10851.3515625,0.93664342,0.0
6383,181,40,2065.0,4.353477478027344,True,0,10632.8671875,0.9362438200000001,0.0
6410,182,27,1872.5,2.900599718093872,True,0,58442.390625,0.93597409,0.0
6456,183,46,3620.0,5.461277723312378,True,0,23532.822265625,0.93551455,0.0
6485,184,29,2171.25,2.43619441986084,False,0,55829.68359375,0.9352248400000001,0.0
6515,185,30,1817.5,3.101163625717163,False,0,18543.943359375,0.93492514,0.0
6549,186,34,1460.0,3.1340107917785645,True,0,22328.88671875,0.93458548,0.0
6592,187,43,1893.75,4.958691835403442,False,0,112025.1875,0.93415591,0.0
6631,188,39,1496.25,4.059033632278442,False,0,49685.828125,0.9337663,0.0
6663,189,32,2180.0,3.4163002967834473,False,0,15211.982421875,0.93344662,0.0
6688,190,25,967.5,2.0050241947174072,False,0,91777.4375,0.93319687,0.0
6708,191,20,1615.0,1.7998394966125488,False,0,8409.787109375,0.93299707,0.0
6756,192,48,1230.0,5.8142781257629395,True,0,41638.390625,0.93251755,0.0
6785,193,29,2525.0,3.130591630935669,True,0,149918.015625,0.93222784,0.0
6822,194,37,2317.5,3.3759469985961914,True,0,39836.06640625,0.93185821,0.0
6870,195,48,1577.5,6.3578040599823,False,0,36883.5234375,0.93137869,0.0
6912,196,42,1987.5,4.601742506027222,True,0,11963.5927734375,0.93095911,0.0
6933,197,21,1145.0,2.2913668155670166,False,0,14335.064453125,0.93074932,0.0
6962,198,29,955.0,2.5959837436676025,False,0,26970.099609375,0.93045961,0.0
7013,199,51,1305.0,6.49167799949646,True,0,34016.93359375,0.92995012,0.0
7048,200,35,2688.75,3.8225979804992676,True,0,11403.2119140625,0.92960047,0.0
7078,201,30,1950.0,2.633720874786377,False,0,81571.2421875,0.92930077,0.0
7118,202,40,1460.0,3.763288974761963,False,0,2547.898193359375,0.92890117,0.0
7137,203,19,1615.0,2.0711166858673096,False,0,31027.26171875,0.92871136,0.0
7162,204,25,1005.0,1.8779032230377197,False,0,21533.232421875,0.92846161,0.0
7226,205,64,3706.25,9.26319932937622,True,0,54002.15234375,0.92782225,0.0
7260,206,34,1987.5,3.0390243530273438,True,0,80780.546875,0.92748259,0.0
7290,207,30,1433.75,3.151651620864868,False,0,125598.5078125,0.92718289,0.0
7324,208,34,2235.0,2.969832181930542,False,0,93562.5078125,0.92684323,0.0
7376,209,52,3267.5,6.899009943008423,True,0,45819.234375,0.92632375,0.0
7402,210,26,2045.0,2.1472206115722656,True,0,12224.5751953125,0.9260640099999999,0.0
7435,211,33,1992.5,3.5736186504364014,False,0,22081.62109375,0.92573434,0.0
7465,212,30,1595.0,2.8959813117980957,True,0,61223.1796875,0.92543464,0.0
7510,213,45,1352.5,5.3202197551727295,True,0,110573.3828125,0.92498509,0.0
7543,214,33,1005.0,1242.6899771690369,True,0,57287.12109375,0.92465542,0.0
