total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
4446,115,34,-1.0,5.15826678276062,False,2025-10-25 14:07:19,0,0.0,797348224.0,0.95559445
4479,116,33,-1.0,5.015070915222168,False,2025-10-25 14:07:25,0,0.0,943740480.0,0.95526478
4529,117,50,-1.0,9.4755380153656,False,2025-10-25 14:07:35,0,0.0,830446720.0,0.95476528
4573,118,44,1.0,7.380149602890015,True,2025-10-25 14:07:44,0,0.0,921371648.0,0.95432572
4619,119,46,-1.0,7.836857795715332,False,2025-10-25 14:07:53,0,0.0,1313218048.0,0.95386618
4640,120,21,-1.0,2.3752408027648926,False,2025-10-25 14:07:56,0,0.0,1625887488.0,0.95365639
4679,121,39,-1.0,7.179922819137573,False,2025-10-25 14:08:04,0,0.0,1519227648.0,0.95326678
4728,122,49,-1.0,8.589190483093262,False,2025-10-25 14:08:13,0,0.0,1243264768.0,0.95277727
4783,123,55,-1.0,12.418864965438843,False,2025-10-25 14:08:26,0,0.0,2407260928.0,0.95222782
4834,124,51,-1.0,9.375343561172485,False,2025-10-25 14:08:36,0,0.0,2986399488.0,0.9517183300000001
4870,125,36,-1.0,5.481142997741699,False,2025-10-25 14:08:42,0,0.0,1708417024.0,0.95135869
4892,126,22,-1.0,2.480036735534668,False,2025-10-25 14:08:46,0,0.0,1756683648.0,0.95113891
4912,127,20,-1.0,2.2604055404663086,False,2025-10-25 14:08:49,0,0.0,2171985152.0,0.95093911
4940,128,28,-1.0,3.832341432571411,False,2025-10-25 14:08:54,0,0.0,1801677568.0,0.95065939
4965,129,25,-1.0,3.3350093364715576,False,2025-10-25 14:08:58,0,0.0,2388423936.0,0.95040964
4996,130,31,-1.0,4.487896680831909,False,2025-10-25 14:09:04,0,0.0,3893248256.0,0.95009995
5035,131,39,-1.0,83.75252842903137,False,2025-10-25 14:10:28,0,0.0,1619557888.0,0.94971034
5078,132,43,-1.0,8.682654619216919,False,2025-10-25 14:10:38,0,0.0,2872326144.0,0.94928077
5105,133,27,-1.0,3.634255886077881,False,2025-10-25 14:10:42,0,0.0,2896535552.0,0.94901104
5135,134,30,-1.0,5.015649318695068,False,2025-10-25 14:10:48,0,0.0,2914406144.0,0.94871134
5163,135,28,-1.0,4.582089900970459,False,2025-10-25 14:10:53,0,0.0,3705253632.0,0.94843162
5191,136,28,-1.0,4.0800676345825195,False,2025-10-25 14:10:58,0,0.0,4951805952.0,0.9481519
5225,137,34,-1.0,5.90291428565979,False,2025-10-25 14:11:05,0,0.0,3745173248.0,0.94781224
5268,138,43,1.0,6.750232696533203,True,2025-10-25 14:11:12,0,0.0,8116668416.0,0.94738267
5320,139,52,-1.0,9.407009601593018,False,2025-10-25 14:11:22,0,0.0,4206556928.0,0.94686319
5359,140,39,-1.0,6.805158853530884,False,2025-10-25 14:11:30,0,0.0,6783098368.0,0.94647358
5389,141,30,1.0,4.625755071640015,True,2025-10-25 14:11:35,0,0.0,3781484800.0,0.94617388
5415,142,26,-1.0,4.547940969467163,False,2025-10-25 14:11:41,0,0.0,4274509312.0,0.94591414
5469,143,54,-1.0,10.427950143814087,False,2025-10-25 14:11:52,0,0.0,9977954304.0,0.94537468
5501,144,32,-1.0,4.870803356170654,False,2025-10-25 14:11:57,0,0.0,9039642624.0,0.945055
5533,145,32,-1.0,4.545480012893677,False,2025-10-25 14:12:03,0,0.0,4532363264.0,0.94473532
5555,146,22,-1.0,2.556074619293213,False,2025-10-25 14:12:06,0,0.0,7267884032.0,0.94451554
5599,147,44,-1.0,7.800452470779419,False,2025-10-25 14:12:14,0,0.0,4160306432.0,0.94407598
5637,148,38,1.0,6.25667929649353,True,2025-10-25 14:12:21,0,0.0,9606809600.0,0.94369636
5658,149,21,-1.0,2.3774912357330322,False,2025-10-25 14:12:24,0,0.0,6355336704.0,0.94348657
5704,150,46,-1.0,8.447187662124634,False,2025-10-25 14:12:34,0,0.0,12619552768.0,0.94302703
5736,151,32,1.0,4.71191143989563,True,2025-10-25 14:12:39,0,0.0,8262281216.0,0.94270735
5767,152,31,-1.0,5.533196926116943,False,2025-10-25 14:12:46,0,0.0,15386842112.0,0.94239766
5797,153,30,-1.0,6.126023054122925,False,2025-10-25 14:12:53,0,0.0,13192314880.0,0.94209796
5829,154,32,-1.0,4.724384784698486,False,2025-10-25 14:12:58,0,0.0,11585042432.0,0.94177828
5868,155,39,1.0,7.965495347976685,True,2025-10-25 14:13:07,0,0.0,12711983104.0,0.94138867
5900,156,32,-1.0,4.67566180229187,False,2025-10-25 14:13:12,0,0.0,16827342848.0,0.94106899
5929,157,29,-1.0,5.042116403579712,False,2025-10-25 14:13:18,0,0.0,10914093056.0,0.94077928
5952,158,23,-1.0,3.3590574264526367,False,2025-10-25 14:13:22,0,0.0,24941266944.0,0.94054951
5975,159,23,-1.0,3.1164050102233887,False,2025-10-25 14:13:26,0,0.0,17423878144.0,0.94031974
6026,160,51,-1.0,94.46628975868225,False,2025-10-25 14:15:02,0,0.0,26779213824.0,0.93981025
6055,161,29,-1.0,5.236422538757324,False,2025-10-25 14:15:08,0,0.0,18664433664.0,0.93952054
6098,162,43,-1.0,7.873932361602783,False,2025-10-25 14:15:16,0,0.0,15894491136.0,0.93909097
6129,163,31,1.0,5.112343072891235,True,2025-10-25 14:15:22,0,0.0,23033714688.0,0.9387812799999999
6151,164,22,-1.0,2.9797470569610596,False,2025-10-25 14:15:26,0,0.0,15350910976.0,0.9385615
6249,165,98,-1.0,28.022544384002686,False,2025-10-25 14:15:55,0,0.0,46226259968.0,0.93758248
6278,166,29,-1.0,4.338793992996216,False,2025-10-25 14:16:00,0,0.0,32386785280.0,0.93729277
6303,167,25,-1.0,3.3235602378845215,False,2025-10-25 14:16:04,0,0.0,43151822848.0,0.93704302
6337,168,34,-1.0,6.266915321350098,False,2025-10-25 14:16:11,0,0.0,35191287808.0,0.93670336
6369,169,32,-1.0,4.165301561355591,False,2025-10-25 14:16:16,0,0.0,53514190848.0,0.93638368
6395,170,26,-1.0,3.2934932708740234,False,2025-10-25 14:16:20,0,0.0,39199162368.0,0.93612394
6419,171,24,-1.0,4.091865539550781,False,2025-10-25 14:16:25,0,0.0,39497064448.0,0.93588418
6482,172,63,-1.0,13.971990823745728,False,2025-10-25 14:16:40,0,0.0,47535742976.0,0.93525481
6501,173,19,-1.0,2.8382580280303955,False,2025-10-25 14:16:44,0,0.0,81899487232.0,0.935065
6552,174,51,-1.0,9.897807359695435,False,2025-10-25 14:16:54,0,0.0,68107608064.0,0.93455551
6577,175,25,-1.0,3.1986827850341797,False,2025-10-25 14:16:58,0,0.0,44862074880.0,0.93430576
6624,176,47,1.0,8.417911767959595,True,2025-10-25 14:17:07,0,0.0,55061401600.0,0.93383623
6656,177,32,-1.0,5.53394889831543,False,2025-10-25 14:17:14,0,0.0,75105443840.0,0.93351655
6688,178,32,-1.0,5.378827333450317,False,2025-10-25 14:17:20,0,0.0,95150940160.0,0.93319687
6721,179,33,-1.0,5.457287073135376,False,2025-10-25 14:17:26,0,0.0,114460336128.0,0.9328672
6762,180,41,-1.0,7.055300235748291,False,2025-10-25 14:17:34,0,0.0,98011627520.0,0.9324576099999999
6786,181,24,-1.0,3.4324498176574707,False,2025-10-25 14:17:38,0,0.0,177792040960.0,0.93221785
