total_steps,episode,episode_steps,episode_reward,episode_time,win,timestamp,repeated,intrinsic_reward,loss,epsilon
3142,78,58,-1.1236329625632455,14.754924297332764,False,2025-10-25 18:47:09,0,0.0,0.017627613618969917,0.96862141
3190,79,48,-1.2202370970891745,9.826019763946533,False,2025-10-25 18:47:19,0,0.0,0.02154378965497017,0.96814189
3215,80,25,-1.2707917960114954,4.677445650100708,False,2025-10-25 18:47:25,0,0.0,0.021486148238182068,0.96789214
3241,81,26,-1.2225481000481002,4.164264678955078,False,2025-10-25 18:47:30,0,0.0,0.08476106077432632,0.9676324000000001
3265,82,24,-1.9067910601513862,4.29044771194458,False,2025-10-25 18:47:35,0,0.0,0.03680663928389549,0.96739264
3303,83,38,-1.7114109567781486,7.403588056564331,False,2025-10-25 18:47:43,0,0.0,0.02608233503997326,0.96701302
3360,84,57,-1.103016658714665,12.932311296463013,False,2025-10-25 18:47:57,0,0.0,0.04848315939307213,0.96644359
3399,85,39,1.7196023170153127,6.733231544494629,True,2025-10-25 18:48:04,0,0.0,0.08952505141496658,0.96605398
3437,86,38,-1.4242088090465541,8.674599885940552,False,2025-10-25 18:48:13,0,0.0,0.03906507045030594,0.96567436
3464,87,27,-1.5397913561847987,7.481176376342773,False,2025-10-25 18:48:22,0,0.0,0.026474779471755028,0.96540463
3505,88,41,-1.1553052505223846,9.828029870986938,False,2025-10-25 18:48:33,0,0.0,0.025909431278705597,0.96499504
3543,89,38,1.2566154302011188,7.593264579772949,True,2025-10-25 18:48:42,0,0.0,0.13078074157238007,0.96461542
3578,90,35,1.5472310918440262,5.1745336055755615,True,2025-10-25 18:48:49,0,0.0,0.1764792799949646,0.96426577
3614,91,36,-0.7657027033993519,7.088310718536377,False,2025-10-25 18:48:57,0,0.0,0.028479237109422684,0.96390613
3640,92,26,-1.2731525423728813,5.087314128875732,False,2025-10-25 18:49:04,0,0.0,0.030153246596455574,0.96364639
3675,93,35,-1.4889587628865981,5.635113716125488,False,2025-10-25 18:49:11,0,0.0,0.03942237049341202,0.96329674
3709,94,34,-0.8515291053998916,5.788652658462524,False,2025-10-25 18:49:18,0,0.0,0.0294704120606184,0.96295708
3735,95,26,-1.2212625910674693,4.115605592727661,False,2025-10-25 18:49:23,0,0.0,0.03778281807899475,0.96269734
3763,96,28,1.443444730077121,5.143949747085571,True,2025-10-25 18:49:30,0,0.0,0.16401737928390503,0.96241762
3793,97,30,-1.0011317351029758,4.448189973831177,False,2025-10-25 18:49:35,0,0.0,0.14584262669086456,0.96211792
3831,98,38,1.554143581622168,5.636893033981323,True,2025-10-25 18:49:42,0,0.0,0.03573189303278923,0.9617383
3889,99,58,-0.9318301573315803,10.37800908088684,False,2025-10-25 18:49:55,0,0.0,0.035230860114097595,0.96115888
3969,100,80,1.304390581472793,25.597485303878784,True,2025-10-25 18:50:21,0,0.0,0.11427595466375351,0.96035968
4033,101,64,-1.2200055142664736,96.89111733436584,False,2025-10-25 18:51:59,0,0.0,0.0407557412981987,0.95972032
4054,102,21,-1.4013098245038544,3.0902609825134277,False,2025-10-25 18:52:03,0,0.0,0.05335220694541931,0.95951053
4092,103,38,-1.2088308935896845,6.526511192321777,False,2025-10-25 18:52:10,0,0.0,0.05068404972553253,0.95913091
4132,104,40,-1.4026171785681882,7.687907934188843,False,2025-10-25 18:52:19,0,0.0,0.05431018024682999,0.95873131
4164,105,32,-1.1710604873069843,6.131991386413574,False,2025-10-25 18:52:26,0,0.0,0.03026336431503296,0.95841163
4205,106,41,-1.2465026773761716,6.315058946609497,False,2025-10-25 18:52:33,0,0.0,0.0338449664413929,0.95800204
4245,107,40,-1.0449643489897145,6.624411344528198,False,2025-10-25 18:52:41,0,0.0,0.044080525636672974,0.95760244
4284,108,39,-1.0275195111517965,4.756526231765747,False,2025-10-25 18:52:46,0,0.0,0.022107351571321487,0.95721283
4323,109,39,-1.0703296703296703,6.257607460021973,False,2025-10-25 18:52:53,0,0.0,0.021503934636712074,0.95682322
4346,110,23,1.436308766880062,2.567720890045166,True,2025-10-25 18:52:56,0,0.0,0.1166437417268753,0.95659345
4395,111,49,-1.3138382495219052,7.9446327686309814,False,2025-10-25 18:53:05,0,0.0,0.16002479195594788,0.95610394
4418,112,23,-1.5347101223162072,2.7322165966033936,False,2025-10-25 18:53:09,0,0.0,0.052851371467113495,0.95587417
4471,113,53,-1.4940544010199186,10.838287591934204,False,2025-10-25 18:53:20,0,0.0,0.08145241439342499,0.9553447
4526,114,55,-1.183804533306851,10.217752456665039,False,2025-10-25 18:53:31,0,0.0,0.057155005633831024,0.95479525
4552,115,26,-1.5741994301994302,4.591577768325806,False,2025-10-25 18:53:37,0,0.0,0.0267484113574028,0.95453551
